group	ec_number	pathwayid	pathway_id	pathway_name
group A	1.1.1.133	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.133	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.135	p51	51	Fructose and mannose metabolism
group A	1.1.1.135	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.135	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.136	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.136	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.137	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.138	p51	51	Fructose and mannose metabolism
group A	1.1.1.14	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.14	p51	51	Fructose and mannose metabolism
group A	1.1.1.140	p51	51	Fructose and mannose metabolism
group A	1.1.1.144	p903	903	Limonene and pinene degradation
group A	1.1.1.145	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.145	p984	984	Steroid degradation
group A	1.1.1.146	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.146	p980	980	Metabolism of xenobiotics by cytochrome P450
group A	1.1.1.148	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.149	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.15	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.15	p51	51	Fructose and mannose metabolism
group A	1.1.1.152	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.153	p790	790	Folate biosynthesis
group A	1.1.1.154	p230	230	Purine metabolism
group A	1.1.1.156	p561	561	Glycerolipid metabolism
group A	1.1.1.157	p360	360	Phenylalanine metabolism
group A	1.1.1.157	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.157	p650	650	Butanoate metabolism
group A	1.1.1.159	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.16	p52	52	Galactose metabolism
group A	1.1.1.163	p930	930	Caprolactam degradation
group A	1.1.1.169	p770	770	Pantothenate and CoA biosynthesis
group A	1.1.1.17	p51	51	Fructose and mannose metabolism
group A	1.1.1.170	p100	100	Steroid biosynthesis
group A	1.1.1.173	p51	51	Fructose and mannose metabolism
group A	1.1.1.174	p930	930	Caprolactam degradation
group A	1.1.1.175	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.176	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.178	p280	280	"Valine, leucine and isoleucine degradation"
group A	1.1.1.179	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.18	p521	521	Streptomycin biosynthesis
group A	1.1.1.18	p562	562	Inositol phosphate metabolism
group A	1.1.1.181	p120	120	Primary bile acid biosynthesis
group A	1.1.1.183	p281	281	Geraniol degradation
group A	1.1.1.184	p590	590	Arachidonic acid metabolism
group A	1.1.1.184	p790	790	Folate biosynthesis
group A	1.1.1.184	p980	980	Metabolism of xenobiotics by cytochrome P450
group A	1.1.1.187	p51	51	Fructose and mannose metabolism
group A	1.1.1.187	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.188	p590	590	Arachidonic acid metabolism
group A	1.1.1.189	p590	590	Arachidonic acid metabolism
group A	1.1.1.19	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.19	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.190	p380	380	Tryptophan metabolism
group A	1.1.1.191	p380	380	Tryptophan metabolism
group A	1.1.1.192	p71	71	Fatty acid metabolism
group A	1.1.1.193	p740	740	Riboflavin metabolism
group A	1.1.1.195	p940	940	Phenylpropanoid biosynthesis
group A	1.1.1.196	p590	590	Arachidonic acid metabolism
group A	1.1.1.198	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.2	p10	10	Glycolysis / Gluconeogenesis
group A	1.1.1.2	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.2	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.2	p561	561	Glycerolipid metabolism
group A	1.1.1.2	p620	620	Pyruvate metabolism
group A	1.1.1.2	p930	930	Caprolactam degradation
group A	1.1.1.20	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.201	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.202	p561	561	Glycerolipid metabolism
group A	1.1.1.202	p640	640	Propanoate metabolism
group A	1.1.1.203	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.205	p230	230	Purine metabolism
group A	1.1.1.205	p983	983	Drug metabolism - other enzymes
group A	1.1.1.206	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	1.1.1.207	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.208	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.21	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.21	p51	51	Fructose and mannose metabolism
group A	1.1.1.21	p52	52	Galactose metabolism
group A	1.1.1.21	p561	561	Glycerolipid metabolism
group A	1.1.1.21	p620	620	Pyruvate metabolism
group A	1.1.1.21	p790	790	Folate biosynthesis
group A	1.1.1.211	p62	62	Fatty acid elongation in mitochondria
group A	1.1.1.211	p71	71	Fatty acid metabolism
group A	1.1.1.211	p1040	1040	Biosynthesis of unsaturated fatty acids
group A	1.1.1.213	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.213	p790	790	Folate biosynthesis
group A	1.1.1.215	p30	30	Pentose phosphate pathway
group A	1.1.1.216	p900	900	Terpenoid backbone biosynthesis
group A	1.1.1.216	p909	909	Sesquiterpenoid biosynthesis
group A	1.1.1.216	p981	981	Insect hormone biosynthesis
group A	1.1.1.218	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.1.1.219	p941	941	Flavonoid biosynthesis
group A	1.1.1.22	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.22	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.22	p500	500	Starch and sucrose metabolism
group A	1.1.1.22	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.22	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.220	p790	790	Folate biosynthesis
group A	1.1.1.222	p350	350	Tyrosine metabolism
group A	1.1.1.222	p360	360	Phenylalanine metabolism
group A	1.1.1.222	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	1.1.1.223	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.23	p340	340	Histidine metabolism
group A	1.1.1.232	p590	590	Arachidonic acid metabolism
group A	1.1.1.234	p941	941	Flavonoid biosynthesis
group A	1.1.1.236	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	1.1.1.237	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	1.1.1.237	p350	350	Tyrosine metabolism
group A	1.1.1.237	p360	360	Phenylalanine metabolism
group A	1.1.1.237	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	1.1.1.238	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.239	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.24	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	1.1.1.241	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.243	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.243	p903	903	Limonene and pinene degradation
group A	1.1.1.244	p680	680	Methane metabolism
group A	1.1.1.245	p930	930	Caprolactam degradation
group A	1.1.1.247	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.1.1.248	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.1.1.25	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	1.1.1.25	p999	999	Biosynthesis of various plant secondary metabolites
group A	1.1.1.250	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.251	p52	52	Galactose metabolism
group A	1.1.1.256	p624	624	1- and 2-Methylnaphthalene degradation
group A	1.1.1.257	p623	623	"2,4-Dichlorobenzoate degradation"
group A	1.1.1.258	p930	930	Caprolactam degradation
group A	1.1.1.259	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.26	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.261	p564	564	Glycerophospholipid metabolism
group A	1.1.1.262	p750	750	Vitamin B6 metabolism
group A	1.1.1.266	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.266	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.267	p900	900	Terpenoid backbone biosynthesis
group A	1.1.1.27	p10	10	Glycolysis / Gluconeogenesis
group A	1.1.1.27	p270	270	Cysteine and methionine metabolism
group A	1.1.1.27	p620	620	Pyruvate metabolism
group A	1.1.1.27	p640	640	Propanoate metabolism
group A	1.1.1.270	p100	100	Steroid biosynthesis
group A	1.1.1.271	p51	51	Fructose and mannose metabolism
group A	1.1.1.271	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.271	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.272	p270	270	Cysteine and methionine metabolism
group A	1.1.1.272	p680	680	Methane metabolism
group A	1.1.1.273	p901	901	Indole alkaloid biosynthesis
group A	1.1.1.275	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.275	p903	903	Limonene and pinene degradation
group A	1.1.1.28	p620	620	Pyruvate metabolism
group A	1.1.1.281	p51	51	Fructose and mannose metabolism
group A	1.1.1.281	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.281	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.282	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	1.1.1.283	p620	620	Pyruvate metabolism
group A	1.1.1.283	p640	640	Propanoate metabolism
group A	1.1.1.284	p680	680	Methane metabolism
group A	1.1.1.285	p999	999	Biosynthesis of various plant secondary metabolites
group A	1.1.1.286	p20	20	Citrate cycle (TCA cycle)
group A	1.1.1.286	p300	300	Lysine biosynthesis
group A	1.1.1.287	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.288	p906	906	Carotenoid biosynthesis
group A	1.1.1.289	p51	51	Fructose and mannose metabolism
group A	1.1.1.29	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.29	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.29	p680	680	Methane metabolism
group A	1.1.1.290	p750	750	Vitamin B6 metabolism
group A	1.1.1.291	p760	760	Nicotinate and nicotinamide metabolism
group A	1.1.1.294	p860	860	Porphyrin and chlorophyll metabolism
group A	1.1.1.295	p904	904	Diterpenoid biosynthesis
group A	1.1.1.296	p903	903	Limonene and pinene degradation
group A	1.1.1.297	p903	903	Limonene and pinene degradation
group A	1.1.1.298	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	1.1.1.3	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.3	p270	270	Cysteine and methionine metabolism
group A	1.1.1.3	p300	300	Lysine biosynthesis
group A	1.1.1.30	p72	72	Synthesis and degradation of ketone bodies
group A	1.1.1.30	p650	650	Butanoate metabolism
group A	1.1.1.302	p740	740	Riboflavin metabolism
group A	1.1.1.303	p650	650	Butanoate metabolism
group A	1.1.1.304	p650	650	Butanoate metabolism
group A	1.1.1.305	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.307	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.309	p440	440	Phosphonate and phosphinate metabolism
group A	1.1.1.309	p998	998	Biosynthesis of various antibiotics
group A	1.1.1.31	p280	280	"Valine, leucine and isoleucine degradation"
group A	1.1.1.310	p270	270	Cysteine and methionine metabolism
group A	1.1.1.311	p642	642	Ethylbenzene degradation
group A	1.1.1.312	p350	350	Tyrosine metabolism
group A	1.1.1.312	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.312	p627	627	"1,4-Dichlorobenzene degradation"
group A	1.1.1.313	p430	430	Taurine and hypotaurine metabolism
group A	1.1.1.314	p909	909	Sesquiterpenoid biosynthesis
group A	1.1.1.316	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.318	p940	940	Phenylpropanoid biosynthesis
group A	1.1.1.319	p940	940	Phenylpropanoid biosynthesis
group A	1.1.1.324	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.325	p790	790	Folate biosynthesis
group A	1.1.1.328	p760	760	Nicotinate and nicotinamide metabolism
group A	1.1.1.329	p524	524	"Neomycin, kanamycin and gentamicin biosynthesis"
group A	1.1.1.330	p62	62	Fatty acid elongation in mitochondria
group A	1.1.1.330	p1040	1040	Biosynthesis of unsaturated fatty acids
group A	1.1.1.331	p999	999	Biosynthesis of various plant secondary metabolites
group A	1.1.1.332	p901	901	Indole alkaloid biosynthesis
group A	1.1.1.335	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.335	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.336	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.336	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.337	p680	680	Methane metabolism
group A	1.1.1.338	p270	270	Cysteine and methionine metabolism
group A	1.1.1.339	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.339	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.34	p900	900	Terpenoid backbone biosynthesis
group A	1.1.1.340	p998	998	Biosynthesis of various antibiotics
group A	1.1.1.341	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.341	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.342	p520	520	Amino sugar and nucleotide sugar metabolism
group A	1.1.1.342	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.343	p30	30	Pentose phosphate pathway
group A	1.1.1.344	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.344	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.347	p281	281	Geraniol degradation
group A	1.1.1.348	p943	943	Isoflavonoid biosynthesis
group A	1.1.1.349	p254	254	Aflatoxin biosynthesis
group A	1.1.1.35	p62	62	Fatty acid elongation in mitochondria
group A	1.1.1.35	p71	71	Fatty acid metabolism
group A	1.1.1.35	p120	120	Primary bile acid biosynthesis
group A	1.1.1.35	p280	280	"Valine, leucine and isoleucine degradation"
group A	1.1.1.35	p281	281	Geraniol degradation
group A	1.1.1.35	p310	310	Lysine degradation
group A	1.1.1.35	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.35	p380	380	Tryptophan metabolism
group A	1.1.1.35	p623	623	"2,4-Dichlorobenzoate degradation"
group A	1.1.1.35	p650	650	Butanoate metabolism
group A	1.1.1.35	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	1.1.1.35	p930	930	Caprolactam degradation
group A	1.1.1.350	p230	230	Purine metabolism
group A	1.1.1.352	p254	254	Aflatoxin biosynthesis
group A	1.1.1.353	p254	254	Aflatoxin biosynthesis
group A	1.1.1.354	p900	900	Terpenoid backbone biosynthesis
group A	1.1.1.354	p909	909	Sesquiterpenoid biosynthesis
group A	1.1.1.355	p524	524	"Neomycin, kanamycin and gentamicin biosynthesis"
group A	1.1.1.356	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.359	p30	30	Pentose phosphate pathway
group A	1.1.1.359	p52	52	Galactose metabolism
group A	1.1.1.36	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.36	p650	650	Butanoate metabolism
group A	1.1.1.360	p30	30	Pentose phosphate pathway
group A	1.1.1.360	p52	52	Galactose metabolism
group A	1.1.1.361	p998	998	Biosynthesis of various antibiotics
group A	1.1.1.362	p1057	1057	Biosynthesis of type II polyketide products
group A	1.1.1.363	p30	30	Pentose phosphate pathway
group A	1.1.1.364	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.365	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.365	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.367	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.368	p362	362	Benzoate degradation via hydroxylation
group A	1.1.1.369	p562	562	Inositol phosphate metabolism
group A	1.1.1.37	p20	20	Citrate cycle (TCA cycle)
group A	1.1.1.37	p270	270	Cysteine and methionine metabolism
group A	1.1.1.37	p620	620	Pyruvate metabolism
group A	1.1.1.37	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.37	p680	680	Methane metabolism
group A	1.1.1.37	p710	710	Carbon fixation in photosynthetic organisms
group A	1.1.1.37	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	1.1.1.370	p562	562	Inositol phosphate metabolism
group A	1.1.1.371	p562	562	Inositol phosphate metabolism
group A	1.1.1.372	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.376	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.377	p51	51	Fructose and mannose metabolism
group A	1.1.1.378	p51	51	Fructose and mannose metabolism
group A	1.1.1.38	p620	620	Pyruvate metabolism
group A	1.1.1.380	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.381	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.384	p523	523	Polyketide sugar unit biosynthesis
group A	1.1.1.385	p998	998	Biosynthesis of various antibiotics
group A	1.1.1.386	p902	902	Monoterpenoid biosynthesis
group A	1.1.1.388	p30	30	Pentose phosphate pathway
group A	1.1.1.39	p620	620	Pyruvate metabolism
group A	1.1.1.39	p710	710	Carbon fixation in photosynthetic organisms
group A	1.1.1.391	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.392	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.393	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.394	p998	998	Biosynthesis of various antibiotics
group A	1.1.1.395	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.396	p860	860	Porphyrin and chlorophyll metabolism
group A	1.1.1.4	p650	650	Butanoate metabolism
group A	1.1.1.40	p620	620	Pyruvate metabolism
group A	1.1.1.40	p710	710	Carbon fixation in photosynthetic organisms
group A	1.1.1.401	p51	51	Fructose and mannose metabolism
group A	1.1.1.404	p361	361	gamma-Hexachlorocyclohexane degradation
group A	1.1.1.405	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.41	p20	20	Citrate cycle (TCA cycle)
group A	1.1.1.414	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.415	p950	950	Isoquinoline alkaloid biosynthesis
group A	1.1.1.416	p750	750	Vitamin B6 metabolism
group A	1.1.1.418	p100	100	Steroid biosynthesis
group A	1.1.1.42	p20	20	Citrate cycle (TCA cycle)
group A	1.1.1.42	p480	480	Glutathione metabolism
group A	1.1.1.42	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	1.1.1.424	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.426	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	1.1.1.427	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.429	p623	623	"2,4-Dichlorobenzoate degradation"
group A	1.1.1.43	p30	30	Pentose phosphate pathway
group A	1.1.1.43	p480	480	Glutathione metabolism
group A	1.1.1.433	p430	430	Taurine and hypotaurine metabolism
group A	1.1.1.44	p30	30	Pentose phosphate pathway
group A	1.1.1.44	p480	480	Glutathione metabolism
group A	1.1.1.45	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.46	p53	53	Ascorbate and aldarate metabolism
group A	1.1.1.47	p30	30	Pentose phosphate pathway
group A	1.1.1.48	p52	52	Galactose metabolism
group A	1.1.1.49	p30	30	Pentose phosphate pathway
group A	1.1.1.49	p480	480	Glutathione metabolism
group A	1.1.1.50	p120	120	Primary bile acid biosynthesis
group A	1.1.1.50	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.51	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.51	p984	984	Steroid degradation
group A	1.1.1.52	p121	121	Secondary bile acid biosynthesis
group A	1.1.1.53	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.56	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.57	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.58	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.59	p410	410	beta-Alanine metabolism
group A	1.1.1.59	p640	640	Propanoate metabolism
group A	1.1.1.6	p561	561	Glycerolipid metabolism
group A	1.1.1.6	p640	640	Propanoate metabolism
group A	1.1.1.60	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.61	p650	650	Butanoate metabolism
group A	1.1.1.62	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.64	p140	140	C21-Steroid hormone metabolism
group A	1.1.1.65	p750	750	Vitamin B6 metabolism
group A	1.1.1.67	p51	51	Fructose and mannose metabolism
group A	1.1.1.72	p561	561	Glycerolipid metabolism
group A	1.1.1.75	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.76	p650	650	Butanoate metabolism
group A	1.1.1.77	p620	620	Pyruvate metabolism
group A	1.1.1.77	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.77	p640	640	Propanoate metabolism
group A	1.1.1.78	p620	620	Pyruvate metabolism
group A	1.1.1.79	p620	620	Pyruvate metabolism
group A	1.1.1.79	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.8	p564	564	Glycerophospholipid metabolism
group A	1.1.1.80	p640	640	Propanoate metabolism
group A	1.1.1.80	p650	650	Butanoate metabolism
group A	1.1.1.81	p260	260	"Glycine, serine and threonine metabolism"
group A	1.1.1.81	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.82	p620	620	Pyruvate metabolism
group A	1.1.1.82	p710	710	Carbon fixation in photosynthetic organisms
group A	1.1.1.83	p650	650	Butanoate metabolism
group A	1.1.1.84	p770	770	Pantothenate and CoA biosynthesis
group A	1.1.1.85	p290	290	"Valine, leucine and isoleucine biosynthesis"
group A	1.1.1.85	p660	660	C5-Branched dibasic acid metabolism
group A	1.1.1.86	p290	290	"Valine, leucine and isoleucine biosynthesis"
group A	1.1.1.86	p770	770	Pantothenate and CoA biosynthesis
group A	1.1.1.87	p300	300	Lysine biosynthesis
group A	1.1.1.88	p900	900	Terpenoid backbone biosynthesis
group A	1.1.1.9	p40	40	Pentose and glucuronate interconversions
group A	1.1.1.90	p350	350	Tyrosine metabolism
group A	1.1.1.90	p360	360	Phenylalanine metabolism
group A	1.1.1.90	p622	622	Toluene and xylene degradation
group A	1.1.1.90	p623	623	"2,4-Dichlorobenzoate degradation"
group A	1.1.1.90	p930	930	Caprolactam degradation
group A	1.1.1.92	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.93	p630	630	Glyoxylate and dicarboxylate metabolism
group A	1.1.1.94	p564	564	Glycerophospholipid metabolism
