ec_number	ec_description	ec_pindex	pathwayid	pathway_id	pathway_name	avg_p_index_bypathway
2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	1	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	1.4
2.1.1.222	2-polyprenyl-6-hydroxyphenol methylase	1	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	1.4
2.1.1.64	3-demethylubiquinol 3-O-methyltransferase	1	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	1.4
2.5.1.39	4-hydroxybenzoate polyprenyltransferase	1	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	1.4
1.10.2.2	Quinol--cytochrome-c reductase	2	p190	190	Oxidative phosphorylation	1.7
1.3.5.1	Succinate dehydrogenase (quinone)	5	p190	190	Oxidative phosphorylation	1.7
1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	2	p190	190	Oxidative phosphorylation	1.7
1.9.3.1	Cytochrome-c oxidase	2	p190	190	Oxidative phosphorylation	1.7
3.6.1.1	Inorganic diphosphatase	1	p190	190	Oxidative phosphorylation	1.7
3.6.3.14	H(+)-transporting two-sector ATPase	3	p190	190	Oxidative phosphorylation	1.7
3.6.3.14	H(+)-transporting two-sector ATPase	3	p195	195	Photosynthesis	1.6
1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	2	p220	220	Arginine biosynthesis	2.97
1.4.1.2	Glutamate dehydrogenase	5	p220	220	Arginine biosynthesis	2.97
2.1.3.3	Ornithine carbamoyltransferase	2	p220	220	Arginine biosynthesis	2.97
2.3.1.1	Amino-acid N-acetyltransferase	2	p220	220	Arginine biosynthesis	2.97
2.3.1.35	Glutamate N-acetyltransferase	2	p220	220	Arginine biosynthesis	2.97
2.6.1.1	Aspartate transaminase	11	p220	220	Arginine biosynthesis	2.97
2.6.1.11	Acetylornithine transaminase	2	p220	220	Arginine biosynthesis	2.97
2.7.2.8	Acetylglutamate kinase	2	p220	220	Arginine biosynthesis	2.97
4.3.2.1	Argininosuccinate lyase	3	p220	220	Arginine biosynthesis	2.97
6.3.1.2	Glutamate--ammonia ligase	5	p220	220	Arginine biosynthesis	2.97
6.3.4.5	Argininosuccinate synthase	3	p220	220	Arginine biosynthesis	2.97
1.1.1.205	IMP dehydrogenase	2	p230	230	Purine metabolism	1.6
1.17.4.1	Ribonucleoside-diphosphate reductase	4	p230	230	Purine metabolism	1.6
2.1.2.2	Phosphoribosylglycinamide formyltransferase	2	p230	230	Purine metabolism	1.6
2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	2	p230	230	Purine metabolism	1.6
2.4.2.14	Amidophosphoribosyltransferase	2	p230	230	Purine metabolism	1.6
2.7.4.3	Adenylate kinase	2	p230	230	Purine metabolism	1.6
2.7.4.6	Nucleoside-diphosphate kinase	3	p230	230	Purine metabolism	1.6
2.7.4.8	Guanylate kinase	1	p230	230	Purine metabolism	1.6
2.7.6.1	Ribose-phosphate diphosphokinase	2	p230	230	Purine metabolism	1.6
2.7.6.5	GTP diphosphokinase	1	p230	230	Purine metabolism	1.6
2.7.7.6	DNA-directed RNA polymerase	2	p230	230	Purine metabolism	1.6
2.7.7.7	DNA-directed DNA polymerase	2	p230	230	Purine metabolism	1.6
2.7.7.8	Polyribonucleotide nucleotidyltransferase	2	p230	230	Purine metabolism	1.6
3.1.3.5	5'-nucleotidase	3	p230	230	Purine metabolism	1.6
3.1.7.2	Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	1	p230	230	Purine metabolism	1.6
3.5.4.10	IMP cyclohydrolase	1	p230	230	Purine metabolism	1.6
3.5.4.4	Adenosine deaminase	1	p230	230	Purine metabolism	1.6
3.6.1.11	Exopolyphosphatase	1	p230	230	Purine metabolism	1.6
3.6.1.15	Nucleoside-triphosphate phosphatase	2	p230	230	Purine metabolism	1.6
3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	2	p230	230	Purine metabolism	1.6
3.6.1.40	Guanosine-5'-triphosphate,3'-diphosphate diphosphatase	1	p230	230	Purine metabolism	1.6
4.3.2.2	Adenylosuccinate lyase	2	p230	230	Purine metabolism	1.6
4.6.1.1	Adenylate cyclase	1	p230	230	Purine metabolism	1.6
5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	7	p230	230	Purine metabolism	1.6
5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase	1	p230	230	Purine metabolism	1.6
6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	1	p230	230	Purine metabolism	1.6
6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	1	p230	230	Purine metabolism	1.6
6.3.4.13	Phosphoribosylamine--glycine ligase	1	p230	230	Purine metabolism	1.6
6.3.4.18	5-(carboxyamino)imidazole ribonucleotide synthase	1	p230	230	Purine metabolism	1.6
6.3.4.4	Adenylosuccinate synthase	2	p230	230	Purine metabolism	1.6
6.3.5.2	GMP synthase (glutamine-hydrolyzing)	2	p230	230	Purine metabolism	1.6
6.3.5.3	Phosphoribosylformylglycinamidine synthase	1	p230	230	Purine metabolism	1.6
1.17.4.1	Ribonucleoside-diphosphate reductase	4	p240	240	Pyrimidine metabolism	1.82
1.3.5.2	Dihydroorotate dehydrogenase (quinone)	1	p240	240	Pyrimidine metabolism	1.82
1.8.1.9	Thioredoxin-disulfide reductase	2	p240	240	Pyrimidine metabolism	1.82
2.1.1.148	Thymidylate synthase (FAD)	2	p240	240	Pyrimidine metabolism	1.82
2.1.3.2	Aspartate carbamoyltransferase	2	p240	240	Pyrimidine metabolism	1.82
2.4.2.10	Orotate phosphoribosyltransferase	2	p240	240	Pyrimidine metabolism	1.82
2.7.4.22	UMP kinase	1	p240	240	Pyrimidine metabolism	1.82
2.7.4.6	Nucleoside-diphosphate kinase	3	p240	240	Pyrimidine metabolism	1.82
2.7.4.9	dTMP kinase	1	p240	240	Pyrimidine metabolism	1.82
2.7.7.6	DNA-directed RNA polymerase	2	p240	240	Pyrimidine metabolism	1.82
2.7.7.7	DNA-directed DNA polymerase	2	p240	240	Pyrimidine metabolism	1.82
2.7.7.8	Polyribonucleotide nucleotidyltransferase	2	p240	240	Pyrimidine metabolism	1.82
3.1.3.5	5'-nucleotidase	3	p240	240	Pyrimidine metabolism	1.82
3.5.2.3	Dihydroorotase	1	p240	240	Pyrimidine metabolism	1.82
3.5.4.13	dCTP deaminase	1	p240	240	Pyrimidine metabolism	1.82
3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	2	p240	240	Pyrimidine metabolism	1.82
3.6.1.23	dUTP diphosphatase	2	p240	240	Pyrimidine metabolism	1.82
4.1.1.23	Orotidine-5'-phosphate decarboxylase	1	p240	240	Pyrimidine metabolism	1.82
4.2.1.70	Pseudouridylate synthase	1	p240	240	Pyrimidine metabolism	1.82
6.3.4.2	CTP synthase	1	p240	240	Pyrimidine metabolism	1.82
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	2	p240	240	Pyrimidine metabolism	1.82
1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+))	4	p250	250	Alanine, aspartate and glutamate metabolism	2.74
1.4.1.13	Glutamate synthase (NADPH)	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
1.4.1.2	Glutamate dehydrogenase	5	p250	250	Alanine, aspartate and glutamate metabolism	2.74
2.1.3.2	Aspartate carbamoyltransferase	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
2.4.2.14	Amidophosphoribosyltransferase	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
2.6.1.1	Aspartate transaminase	11	p250	250	Alanine, aspartate and glutamate metabolism	2.74
2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
4.3.2.1	Argininosuccinate lyase	3	p250	250	Alanine, aspartate and glutamate metabolism	2.74
4.3.2.2	Adenylosuccinate lyase	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
6.3.1.2	Glutamate--ammonia ligase	5	p250	250	Alanine, aspartate and glutamate metabolism	2.74
6.3.4.4	Adenylosuccinate synthase	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
6.3.4.5	Argininosuccinate synthase	3	p250	250	Alanine, aspartate and glutamate metabolism	2.74
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	2	p250	250	Alanine, aspartate and glutamate metabolism	2.74
6.4.1.2	Acetyl-CoA carboxylase	6	p253	253	Tetracycline biosynthesis	2.3
6.4.1.2	Acetyl-CoA carboxylase	6	p254	254	Aflatoxin biosynthesis	1.38
1.1.1.95	Phosphoglycerate dehydrogenase	3	p260	260	Glycine, serine and threonine metabolism	2.23
1.2.1.11	Aspartate-semialdehyde dehydrogenase	4	p260	260	Glycine, serine and threonine metabolism	2.23
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p260	260	Glycine, serine and threonine metabolism	2.23
2.1.2.1	Glycine hydroxymethyltransferase	5	p260	260	Glycine, serine and threonine metabolism	2.23
2.3.1.37	5-aminolevulinate synthase	2	p260	260	Glycine, serine and threonine metabolism	2.23
2.7.1.31	Glycerate 3-kinase	3	p260	260	Glycine, serine and threonine metabolism	2.23
2.7.2.4	Aspartate kinase	4	p260	260	Glycine, serine and threonine metabolism	2.23
2.7.8.8	CDP-diacylglycerol--serine O-phosphatidyltransferase	2	p260	260	Glycine, serine and threonine metabolism	2.23
4.3.1.19	Threonine ammonia-lyase	2	p260	260	Glycine, serine and threonine metabolism	2.23
5.4.2.1	Transferred entry: 5.4.2.11 and 5.4.2.12	3	p260	260	Glycine, serine and threonine metabolism	2.23
1.2.1.11	Aspartate-semialdehyde dehydrogenase	4	p261	261	Monobactam biosynthesis	2.4
2.7.2.4	Aspartate kinase	4	p261	261	Monobactam biosynthesis	2.4
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	2	p261	261	Monobactam biosynthesis	2.4
1.1.1.37	Malate dehydrogenase	7	p270	270	Cysteine and methionine metabolism	2.16
1.1.1.95	Phosphoglycerate dehydrogenase	3	p270	270	Cysteine and methionine metabolism	2.16
1.2.1.11	Aspartate-semialdehyde dehydrogenase	4	p270	270	Cysteine and methionine metabolism	2.16
2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	2	p270	270	Cysteine and methionine metabolism	2.16
2.1.1.37	DNA (cytosine-5-)-methyltransferase	1	p270	270	Cysteine and methionine metabolism	2.16
2.5.1.6	Methionine adenosyltransferase	2	p270	270	Cysteine and methionine metabolism	2.16
2.6.1.1	Aspartate transaminase	11	p270	270	Cysteine and methionine metabolism	2.16
2.6.1.42	Branched-chain-amino-acid transaminase	5	p270	270	Cysteine and methionine metabolism	2.16
2.7.2.4	Aspartate kinase	4	p270	270	Cysteine and methionine metabolism	2.16
3.3.1.1	Adenosylhomocysteinase	1	p270	270	Cysteine and methionine metabolism	2.16
4.4.1.8	Cystathionine beta-lyase	3	p270	270	Cysteine and methionine metabolism	2.16
6.3.2.2	Glutamate--cysteine ligase	2	p270	270	Cysteine and methionine metabolism	2.16
6.3.2.3	Glutathione synthase	2	p270	270	Cysteine and methionine metabolism	2.16
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p280	280	Valine, leucine and isoleucine degradation	4.11
1.4.1.23	Valine dehydrogenase (NAD(+))	1	p280	280	Valine, leucine and isoleucine degradation	4.11
1.4.1.9	Leucine dehydrogenase	2	p280	280	Valine, leucine and isoleucine degradation	4.11
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p280	280	Valine, leucine and isoleucine degradation	4.11
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p280	280	Valine, leucine and isoleucine degradation	4.11
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p280	280	Valine, leucine and isoleucine degradation	4.11
2.6.1.42	Branched-chain-amino-acid transaminase	5	p280	280	Valine, leucine and isoleucine degradation	4.11
2.8.3.5	3-oxoacid CoA-transferase	2	p280	280	Valine, leucine and isoleucine degradation	4.11
4.2.1.17	Enoyl-CoA hydratase	17	p280	280	Valine, leucine and isoleucine degradation	4.11
6.4.1.3	Propionyl-CoA carboxylase	4	p280	280	Valine, leucine and isoleucine degradation	4.11
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p281	281	Geraniol degradation	4.6
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p281	281	Geraniol degradation	4.6
4.2.1.17	Enoyl-CoA hydratase	17	p281	281	Geraniol degradation	4.6
1.1.1.86	Ketol-acid reductoisomerase	2	p290	290	Valine, leucine and isoleucine biosynthesis	2.13
1.4.1.9	Leucine dehydrogenase	2	p290	290	Valine, leucine and isoleucine biosynthesis	2.13
2.6.1.42	Branched-chain-amino-acid transaminase	5	p290	290	Valine, leucine and isoleucine biosynthesis	2.13
4.3.1.19	Threonine ammonia-lyase	2	p290	290	Valine, leucine and isoleucine biosynthesis	2.13
1.2.1.11	Aspartate-semialdehyde dehydrogenase	4	p300	300	Lysine biosynthesis	1.82
2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	1	p300	300	Lysine biosynthesis	1.82
2.7.2.4	Aspartate kinase	4	p300	300	Lysine biosynthesis	1.82
3.5.1.18	Succinyl-diaminopimelate desuccinylase	1	p300	300	Lysine biosynthesis	1.82
4.1.1.20	Diaminopimelate decarboxylase	2	p300	300	Lysine biosynthesis	1.82
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	2	p300	300	Lysine biosynthesis	1.82
5.1.1.7	Diaminopimelate epimerase	2	p300	300	Lysine biosynthesis	1.82
6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	2	p300	300	Lysine biosynthesis	1.82
6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	2	p300	300	Lysine biosynthesis	1.82
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p310	310	Lysine degradation	2.26
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)	3	p310	310	Lysine degradation	2.26
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p310	310	Lysine degradation	2.26
2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase	3	p310	310	Lysine degradation	2.26
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p310	310	Lysine degradation	2.26
2.6.1.21	D-amino-acid transaminase	4	p310	310	Lysine degradation	2.26
4.2.1.17	Enoyl-CoA hydratase	17	p310	310	Lysine degradation	2.26
3.5.2.6	Beta-lactamase	2	p311	311	Penicillin and cephalosporin biosynthesis	1.29
3.5.2.6	Beta-lactamase	2	p312	312	beta-Lactam resistance	2
1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	2	p330	330	Arginine and proline metabolism	2.23
1.2.1.41	Glutamate-5-semialdehyde dehydrogenase	2	p330	330	Arginine and proline metabolism	2.23
1.4.1.2	Glutamate dehydrogenase	5	p330	330	Arginine and proline metabolism	2.23
1.5.1.2	Pyrroline-5-carboxylate reductase	1	p330	330	Arginine and proline metabolism	2.23
1.5.99.8	Transferred entry: 1.5.5.2	1	p330	330	Arginine and proline metabolism	2.23
2.1.3.3	Ornithine carbamoyltransferase	2	p330	330	Arginine and proline metabolism	2.23
2.3.1.1	Amino-acid N-acetyltransferase	2	p330	330	Arginine and proline metabolism	2.23
2.3.1.35	Glutamate N-acetyltransferase	2	p330	330	Arginine and proline metabolism	2.23
2.6.1.1	Aspartate transaminase	11	p330	330	Arginine and proline metabolism	2.23
2.6.1.11	Acetylornithine transaminase	2	p330	330	Arginine and proline metabolism	2.23
2.6.1.21	D-amino-acid transaminase	4	p330	330	Arginine and proline metabolism	2.23
2.7.2.8	Acetylglutamate kinase	2	p330	330	Arginine and proline metabolism	2.23
4.3.2.1	Argininosuccinate lyase	3	p330	330	Arginine and proline metabolism	2.23
6.3.1.2	Glutamate--ammonia ligase	5	p330	330	Arginine and proline metabolism	2.23
6.3.4.5	Argininosuccinate synthase	3	p330	330	Arginine and proline metabolism	2.23
1.2.1.41	Glutamate-5-semialdehyde dehydrogenase	2	p332	332	Carbapenem biosynthesis	1.4
3.1.3.15	Histidinol-phosphatase	1	p340	340	Histidine metabolism	2.33
1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+))	4	p350	350	Tyrosine metabolism	2.85
2.6.1.1	Aspartate transaminase	11	p350	350	Tyrosine metabolism	2.85
1.14.16.1	Phenylalanine 4-monooxygenase	3	p360	360	Phenylalanine metabolism	3.06
2.6.1.1	Aspartate transaminase	11	p360	360	Phenylalanine metabolism	3.06
2.6.1.21	D-amino-acid transaminase	4	p360	360	Phenylalanine metabolism	3.06
4.2.1.17	Enoyl-CoA hydratase	17	p360	360	Phenylalanine metabolism	3.06
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p362	362	Benzoate degradation via hydroxylation	2.49
1.13.11.3	Protocatechuate 3,4-dioxygenase	2	p362	362	Benzoate degradation via hydroxylation	2.49
2.3.1.16	Acetyl-CoA C-acyltransferase	8	p362	362	Benzoate degradation via hydroxylation	2.49
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p362	362	Benzoate degradation via hydroxylation	2.49
3.7.1.9	2-hydroxymuconate-6-semialdehyde hydrolase	3	p362	362	Benzoate degradation via hydroxylation	2.49
4.2.1.17	Enoyl-CoA hydratase	17	p362	362	Benzoate degradation via hydroxylation	2.49
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	12	p380	380	Tryptophan metabolism	3.09
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)	3	p380	380	Tryptophan metabolism	3.09
1.8.1.4	Dihydrolipoyl dehydrogenase	8	p380	380	Tryptophan metabolism	3.09
2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase	3	p380	380	Tryptophan metabolism	3.09
2.3.1.9	Acetyl-CoA C-acetyltransferase	11	p380	380	Tryptophan metabolism	3.09
4.2.1.17	Enoyl-CoA hydratase	17	p380	380	Tryptophan metabolism	3.09
1.14.16.1	Phenylalanine 4-monooxygenase	3	p400	400	Phenylalanine, tyrosine and tryptophan biosynthesis	2.26
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase	1	p400	400	Phenylalanine, tyrosine and tryptophan biosynthesis	2.26
2.6.1.1	Aspartate transaminase	11	p400	400	Phenylalanine, tyrosine and tryptophan biosynthesis	2.26
4.2.3.4	3-dehydroquinate synthase	1	p400	400	Phenylalanine, tyrosine and tryptophan biosynthesis	2.26
2.6.1.1	Aspartate transaminase	11	p401	401	Novobiocin biosynthesis	3.06
4.1.1.11	Aspartate 1-decarboxylase	2	p410	410	beta-Alanine metabolism	3.7
4.1.1.9	Malonyl-CoA decarboxylase	2	p410	410	beta-Alanine metabolism	3.7
4.2.1.17	Enoyl-CoA hydratase	17	p410	410	beta-Alanine metabolism	3.7
6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	2	p410	410	beta-Alanine metabolism	3.7
1.4.1.2	Glutamate dehydrogenase	5	p430	430	Taurine and hypotaurine metabolism	2.09
2.3.1.8	Phosphate acetyltransferase	5	p430	430	Taurine and hypotaurine metabolism	2.09
2.7.2.1	Acetate kinase	5	p430	430	Taurine and hypotaurine metabolism	2.09
1.8.1.9	Thioredoxin-disulfide reductase	2	p450	450	Selenoamino acid metabolism	2.06
2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	2	p450	450	Selenoamino acid metabolism	2.06
4.4.1.8	Cystathionine beta-lyase	3	p450	450	Selenoamino acid metabolism	2.06
6.1.1.10	Methionine--tRNA ligase	2	p450	450	Selenoamino acid metabolism	2.06
2.1.2.1	Glycine hydroxymethyltransferase	5	p460	460	Cyanoamino acid metabolism	1.86
2.6.1.21	D-amino-acid transaminase	4	p470	470	D-Amino acid metabolism	1.96
4.1.1.20	Diaminopimelate decarboxylase	2	p470	470	D-Amino acid metabolism	1.96
5.1.1.7	Diaminopimelate epimerase	2	p470	470	D-Amino acid metabolism	1.96
6.3.2.4	D-alanine--D-alanine ligase	2	p470	470	D-Amino acid metabolism	1.96
