pathwayid	pathway_id	pathway_name	PML	total_genes_inpathway	bvbrc_genes_inpathway	genes_found_target_group_bypathway	genes_found_nontarget_group_bypathway	perc_missing_in_target_group_bypathway	perc_missing_in_nontarget_group_bypathway	avg_p_index_bypathway	genes_absent_differential	loss_innontarget_group_score	PML_composite	loss_innontarget_group_composite
p130	130	Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p140	140	C21-Steroid hormone metabolism	0	0	0	0	0	0	0	0	0	0	0	0
p195	195	Photosynthesis	0	5	1	1	1	0	0	1.6	0	0	5	5
p232	232	Caffeine metabolism	0	0	0	0	0	0	0	0	0	0	0	0
p253	253	Tetracycline biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p254	254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p261	261	Monobactam biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p311	311	Penicillin and cephalosporin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p312	312	beta-Lactam resistance	0	0	0	0	0	0	0	0	0	0	0	0
p331	331	Clavulanic acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p332	332	Carbapenem biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p333	333	Carbapenem biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p361	361	gamma-Hexachlorocyclohexane degradation	0	0	0	0	0	0	0	0	0	0	0	0
p363	363	Bisphenol A degradation	0	0	0	0	0	0	0	0	0	0	0	0
p364	364	Fluorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0
p365	365	Furfural degradation	0	0	0	0	0	0	0	0	0	0	0	0
p401	401	Novobiocin biosynthesis	0	16	1	1	1	0	0	3.06	0	0	5	5
p402	402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p404	404	Staurosporine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p405	405	Phenazine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p511	511	Other glycan degradation	0	0	0	0	0	0	0	0	0	0	0	0
p512	512	O-Glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p514	514	Other types of O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p515	515	Mannose type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p522	522	Biosynthesis of 12-, 14- and 16-membered macrolides	0	0	0	0	0	0	0	0	0	0	0	0
p524	524	Neomycin, kanamycin and gentamicin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p525	525	Acarbose and validamycin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p532	532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0	0	0	0	0	0	0	0	0	0	0	0
p533	533	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0
p534	534	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0
p540	540	Lipopolysaccharide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p552	552	Teichoic acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p563	563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p571	571	Lipoarabinomannan (LAM) biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p572	572	Lipoarabinomannan (LAM) biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p591	591	Linoleic acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0
p601	601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0
p623	623	2,4-Dichlorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0
p624	624	1- and 2-Methylnaphthalene degradation	0	0	0	0	0	0	0	0	0	0	0	0
p633	633	Trinitrotoluene degradation	0	0	0	0	0	0	0	0	0	0	0	0
p730	730	Thiamine metabolism	0	28	6	4	6	33.3	0	1.25	2	0	130	30
p785	785	Lipoic acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0
p791	791	Atrazine degradation	0	0	0	0	0	0	0	0	0	0	0	0
p901	901	Indole alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p902	902	Monoterpenoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p904	904	Diterpenoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p905	905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p906	906	Carotenoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p908	908	Zeatin biosynthesis	0	10	1	1	1	0	0	1	0	0	5	5
p909	909	Sesquiterpenoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p930	930	Caprolactam degradation	0	0	0	0	0	0	0	0	0	0	0	0
p940	940	Phenylpropanoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p941	941	Flavonoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p942	942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p943	943	Isoflavonoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p945	945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p950	950	Isoquinoline alkaloid biosynthesis	0	75	1	1	1	0	0	1.81	0	0	5	5
p960	960	Tropane, piperidine and pyridine alkaloid biosynthesis	0	31	1	1	1	0	0	2.68	0	0	5	5
p965	965	Betalain biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p966	966	Glucosinolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p970	970	Aminoacyl-tRNA biosynthesis	0	31	23	23	23	0	0	1.19	0	0	115	115
p981	981	Insect hormone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p984	984	Steroid degradation	0	0	0	0	0	0	0	0	0	0	0	0
p996	996	Biosynthesis of various alkaloids	0	0	0	0	0	0	0	0	0	0	0	0
p997	997	Biosynthesis of various other secondary metabolites	0	0	0	0	0	0	0	0	0	0	0	0
p998	998	Biosynthesis of various antibiotics	0	0	0	0	0	0	0	0	0	0	0	0
p999	999	Biosynthesis of various plant secondary metabolites	0	0	0	0	0	0	0	0	0	0	0	0
p1051	1051	Biosynthesis of ansamycins	0	5	1	1	1	0	0	1.4	0	0	5	5
p1056	1056	Biosynthesis of type II polyketide backbone	0	0	0	0	0	0	0	0	0	0	0	0
p1057	1057	Biosynthesis of type II polyketide products	0	0	0	0	0	0	0	0	0	0	0	0
p1058	1058	Acridone alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
p1059	1059	Biosynthesis of enediyne antibiotics	0	0	0	0	0	0	0	0	0	0	0	0
